fecha_completa;dia;mes;anio
2002,1 de julio,San Pedro y San Pablo,Lunes;1;7;2002
2002,20 de julio,Día de la independencia,Sábado;20;7;2002
2002,7 de agosto,Batalla de Boyacá,Miércoles;7;8;2002
2002,19 de agosto,Asunción de la Virgen,Lunes;19;8;2002
2002,14 de octubre,Día de la raza,Lunes;14;10;2002
2002,4 de noviembre,Todos los Santos,Lunes;4;11;2002
2002,11 de noviembre,Independencia de Cartagena,Lunes;11;11;2002
2002,8 de diciembre,Inmaculada Concepción,Domingo;8;12;2002
2002,25 de diciembre,Navidad,Miércoles;25;12;2002
2003,1 de enero,Año Nuevo,Miércoles;1;1;2003
2003,6 de enero,Epifanía,Lunes;6;1;2003
2003,24 de marzo,Día de San José,Lunes;24;3;2003
2003,17 de abril,Jueves Santo,Jueves;17;4;2003
2003,18 de abril,Viernes Santo,Viernes;18;4;2003
2003,1 de mayo,Día del trabajo,Jueves;1;5;2003
2003,2 de junio,Ascención de Jesús,Lunes;2;6;2003
2003,23 de junio,Corpus Christi,Lunes;23;6;2003
2003,30 de junio,San Pedro y San Pablo,Lunes;30;6;2003
2003,30 de junio,Sagrado Corazón de Jesús,Lunes;30;6;2003
2003,20 de julio,Día de la independencia,Domingo;20;7;2003
2003,7 de agosto,Batalla de Boyacá,Jueves;7;8;2003
2003,18 de agosto,Asunción de la Virgen,Lunes;18;8;2003
2003,13 de octubre,Día de la raza,Lunes;13;10;2003
2003,3 de noviembre,Todos los Santos,Lunes;3;11;2003
2003,17 de noviembre,Independencia de Cartagena,Lunes;17;11;2003
2003,8 de diciembre,Inmaculada Concepción,Lunes;8;12;2003
2003,25 de diciembre,Navidad,Jueves;25;12;2003
2004,1 de enero,Año Nuevo,Jueves;1;1;2004
2004,12 de enero,Epifanía,Lunes;12;1;2004
2004,22 de marzo,Día de San José,Lunes;22;3;2004
2004,8 de abril,Jueves Santo,Jueves;8;4;2004
2004,9 de abril,Viernes Santo,Viernes;9;4;2004
2004,1 de mayo,Día del trabajo,Sábado;1;5;2004
2004,24 de mayo,Ascención de Jesús,Lunes;24;5;2004
2004,14 de junio,Corpus Christi,Lunes;14;6;2004
2004,21 de junio,Sagrado Corazón de Jesús,Lunes;21;6;2004
2004,5 de julio,San Pedro y San Pablo,Lunes;5;7;2004
2004,20 de julio,Día de la independencia,Martes;20;7;2004
2004,7 de agosto,Batalla de Boyacá,Sábado;7;8;2004
2004,16 de agosto,Asunción de la Virgen,Lunes;16;8;2004
2004,18 de octubre,Día de la raza,Lunes;18;10;2004
2004,1 de noviembre,Todos los Santos,Lunes;1;11;2004
2004,15 de noviembre,Independencia de Cartagena,Lunes;15;11;2004
2004,8 de diciembre,Inmaculada Concepción,Miércoles;8;12;2004
2004,25 de diciembre,Navidad,Sábado;25;12;2004
2005,1 de enero,Año Nuevo,Sábado;1;1;2005
2005,10 de enero,Epifanía,Lunes;10;1;2005
